Symbol
RELIANCE
HDFCBANK
ICICIBANK
SBIN
TCS
INFY
ITC
LT
AXISBANK
BHARTIARTL
KOTAKBANK
BAJFINANCE
MARUTI
SUNPHARMA
HINDUNILVR
HCLTECH
TATAMOTORS
TATASTEEL
ADANIPORTS
NTPC
POWERGRID
ONGC
COALINDIA
BEL
HAL
TRENT
TITAN
ASIANPAINT
ULTRACEMCO
M&M
HINDALCO
JSWSTEEL
JSWENERGY
ADANIENT
INDUSINDBK
WIPRO
TECHM
CIPLA
DRREDDY
DIVISLAB
APOLLOHOSP
EICHERMOT
GRASIM
NESTLEIND
TATACONSUM
TATAPOWER
PIDILITIND
SIEMENS
HAVELLS
DMART
